doc_id,chunk_id,date,chunk_text,query
http://www.deshdoot.com/indexpo-city-june-16-18/,http://www.deshdoot.com/indexpo-city-june-16-18/_chunk0,2017-06-15 15:26:32,"Nashik : Indore Infoline Pvt. Ltd has organised an industrial expo ‘Indexpo’ at Thakkar’s Dome, ABB Circle, Nashik from June 16 to 18, informed managing director Rajkumar Agrawal in a media briefing yesterday. It has organised such expos earlier in principal cities in Maharashtra like Nagpur and Aurangabad, and out of Maharashtra at Raipur, Indore, Hyderabad and Jamshedpur regularly for the last 10 years.
Informing more about the expo, Agrawal stated that such expos help in exchange of business related information and business growth. Nashik is emerging as a leading industrial city.
Many trade opportunities are available here. Renowned companies like BDS Germany, Greaves Cotton, MB Tech, Bajaj Steel, CRI Pump, Incise India, Epson India, Lava Lubes, Megatech and SP Cranes are taking part in the expo. Nashikites can be benefitted by industrial automation, machine tools, bearing, switchgear, gears and pump, welding instruments, pharma machineries, power tools, cutting tools, construction related instruments etc. through participation of more than 100 companies.
Businessmen can visit the expo from 11 am to 2 pm, whereas common public can visit it from 4 pm to 6 pm. The entry for the expo is free and will definitely be useful for growth of business here.",Indexpo industrial exhibition Nashik June schedule
http://dailypost.ng/2017/08/14/quit-notice-monitoring-situation-north-south-east-governors/,http://dailypost.ng/2017/08/14/quit-notice-monitoring-situation-north-south-east-governors/_chunk0,2017-08-14 19:41:46,"South-East Governors on Monday re-assured Ndigbo residing in different parts of the country of their safety. The Governors, who met in Enugu said they were in constant touch with the Northern Governors over the October 1 ultimatum issued to Igbos in the area. Chairman of the Forum and Ebonyi State Governor, Dave Umahi, who read the communique issued after the meeting, said the position of the Northern governors was commendable. Apart from the quit notice, issues of power, economic integration, among others, also featured prominently during the meeting. The communique read in part:‎ “the Geometric Power Company made a presentation to us about the establishment of independent gas plant and we commend them very highly for a very beautiful project and we have adopted that power plant as a model for regional integration. We throw our weight behind the success of the project. “In the same vein, we commend Shell and our partners in the gas project in Asa. “We the governors in the South-East propose to build five mega industrial clusters, one in each state and we have signified interest to benefit from the Asa gas project and we have set up a committee to liaise with all stakeholders in this reaspect. “We have also as a people and governors of the south east thrown our weight behind the November guber election in Anambra state. “We appeal to all stakeholders and our people to ensure that we have a very peaceful election in Anambra state. “We have also taken notice of a number of gas clusters in South east, and the south governors have directed the economic team and the secretariat to get the list and names of people in charge of the gas blocks so that we can discuss with them towards developing it and ensuring that we",Nigerian southeast governors' statement on Igbo safety and development plans
http://dailypost.ng/2017/08/14/quit-notice-monitoring-situation-north-south-east-governors/,http://dailypost.ng/2017/08/14/quit-notice-monitoring-situation-north-south-east-governors/_chunk1,2017-08-14 19:41:46,"governors have directed the economic team and the secretariat to get the list and names of people in charge of the gas blocks so that we can discuss with them towards developing it and ensuring that we partner with them for the benefit of our people. “Ohanaeze Ndigbo briefed us and of course we have been in touch with the federal government; we have also been in constant touch with our colleagues in the North, and Ohanaeze has been in touch with our people in Northern Nigeria. “We want to ensure our people in northern Nigeria that we are in constant touch with the northern governors forum and we commend them for their position to make sure that the lives and property of our people are fully secured. “We will continue to monitor the development to make sure that no Igbo man living anywhere in this country is living in fear, or is disadvantaged, or the life threatened.” Other Governors at the meeting included Ifeanyi Ugwuanyi of Enugu State, Okezie Ikpeazu of Abia State Rochas Okorocha of Imo State‎ and the Deputy Governor of Anambra State, Dr. Nkem Okeke. President General of Ohaneze Ndigbo, Chief Nnia Nwodo was equally in attendance.",What was discussed at the Southeast governors and Ohanaeze Ndigbo meeting?
http://www.wbtv.com/story/35666639/two-teens-charged-accused-of-leading-police-on-chase-in-reported-stolen-vehicle,http://www.wbtv.com/story/35666639/two-teens-charged-accused-of-leading-police-on-chase-in-reported-stolen-vehicle_chunk0,2017-06-14 00:00:00,"The two teenagers that were arrested in connection to a vehicle pursuit involving a stolen vehicle Wednesday have been identified.
Charlotte-Mecklenburg Police identified the two teens as 17-year-old Alfred Goodley and 18-year-old Harrison Hillman.
Around 4:18 p.m., officers got a call from a woman who said her gray Toyota Solara was taken at gunpoint by two men in the 1300 block of Sharon Road West in south Charlotte.
A short time later, police saw the vehicle and tried to pull it over, but the driver refused to stop. A short pursuit ensued until the duo in the vehicle jumped out and tried to run away on foot on Alleghany Street in west Charlotte.
Both of the teens were taken into custody without incident.
Goodley was charged with common law robbery and felony conspiracy. Hillman was charged with common law robbery, felony conspiracy and hit-and-run causing property damage.
Copyright 2017 WBTV. All rights reserved.",who was arrested for stolen car and robbery in Charlotte
https://in.reuters.com/article/golf-pgachamp-greenmile-idINKBN1AT03S,https://in.reuters.com/article/golf-pgachamp-greenmile-idINKBN1AT03S_chunk0,2017-08-13 04:58:17,"CHARLOTTE, North Carolina (Reuters) - Jason Day began the day in the final threesome, two strokes off the lead, and had the usual ups and downs on Saturday before his quadruple-bogey at the Quail Hollow gauntlet known as the 'Green Mile'. Day began the stretch at the par-four 16th with his third successive birdie to reach five-under but danger was just around the corner. The Australian bogeyed the par-three 17th and finished with a nightmare quadruple-bogey eight. That adventure started with a wayward drive that took him into the trees, leading to two horrendous shots and a penalty stroke, a weak escape from choking rough, a weak chip and two putts. Day lost five shots over the two holes and finished seven off the pace. ""He played good coming in and then gave it all away, so that's tough,"" said playing companion Kevin Kisner. A shell-shocked Day, usually accomodating with the media, walked off hand-in-hand with wife Ellie without taking questions. Tournament leader Kisner was not unscathed, either. Sailing along with a two-shot lead, Kisner pulled a shot into the water at the 16th and had his bogey-putt spin out of the hole for a double. At 18, he bounced an approach off a stone bridge that saved him from another splash but sent him into deep rough and a bogey. That slight reprieve allowed him to cling to a one-shot lead over Hideki Matsuyama and fellow American Chris Stroud going into Sunday's final round. Entire threesomes fell victim to the 18th. Jordan Spieth, who came to Quail Hollow looking to complete a career grand slam of majors, England's Tommy Fleetwood and veteran Vijay Singh all double-bogeyed the last. Spaniard Jon Rahm and playing partner Steve Stricker doubled as well. As did Paul Casey, whose two-under for the tournament turned",Jason Day's golf struggles at Quail Hollow Saturday
https://in.reuters.com/article/golf-pgachamp-greenmile-idINKBN1AT03S,https://in.reuters.com/article/golf-pgachamp-greenmile-idINKBN1AT03S_chunk1,2017-08-13 04:58:17,"career grand slam of majors, England's Tommy Fleetwood and veteran Vijay Singh all double-bogeyed the last. Spaniard Jon Rahm and playing partner Steve Stricker doubled as well. As did Paul Casey, whose two-under for the tournament turned into even-par. Australian Adam Scott joined the double-bogey brigade as one of 12 scores at the 18th of double-bogey or worse. Not everyone was left cursing the 18th, with first-round leader Thorbjorn Olesen (three-over) and Patrick Cantley (two-over) both signing off with birdies.",Which golfers performed poorly on the final hole?
http://www.telegraph.co.uk/news/2017/08/14/donald-trump-cant-hide-dog-whistle-behind-patriotism-wont-condemn/,http://www.telegraph.co.uk/news/2017/08/14/donald-trump-cant-hide-dog-whistle-behind-patriotism-wont-condemn/_chunk0,2017-08-14 12:48:27,"Donald Trump’s baser instincts served him well during the campaign last year. Why expect him to change now?
We know how he works. If the mainstream media says one thing, then he says the other. If the political establishment demands a particular course of action, he sets his compass for the opposite direction.
So as this weekend’s bloody events unfolded in Charlottesville, where a woman was killed by a car ploughing into a crowd of anti-fascist protesters, is it any surprise that Mr Trump has shied from condemning the white supremacists and their Nazi flags?
Sure, he has offered the vaguest of statements, saying: “We condemn in the strongest possible terms this egregious display of hatred, bigotry and violence, on many sides,” before getting in a shot at Barack Obama by saying such anger existed under his predecessor.",Trump's response to the deadly Charlottesville protest incident
https://www.teenvogue.com/story/catalonia-demands-independence-from-spain,https://www.teenvogue.com/story/catalonia-demands-independence-from-spain_chunk0,2017-10-05 04:11:00,"The region of Catalonia is trying to claim its independence from Spain, and recent protests have turned violent. In the weeks leading up to October 1, the central government in Spain tried almost everything to block the vote on independence, from confiscating ballot boxes to arresting Catalan government officials . Just three days before the planned vote, the United Nations warned Spanish authorities that these efforts “appear to violate fundamental individual rights.” On referendum day, images of Spanish police in riot gear smashing windows, breaking into polling stations, and hitting Catalans with clubs and rubber bullets flooded the Internet — as did footage of a few cases of sexual assault . Almost 900 people were injured as a result of the clashes. But why is Catalonia trying to secede in the first place? And how did the fight to vote get so violent? We’re here to explain. 1. There’s a history of repression. Catalonia is in the northeastern part of Spain. Its capital, Barcelona, is an economic hub and a popular destination for many American tourists. People there have their own language, Catalan — which many Catalans like to say is even older than Spanish — and Catalan identity is deep-rooted. The region faced arrests and tortures during Francisco Franco's right-wing dictatorship, which lasted from 1936 to his death, in 1975 . Under his rule, the use of the Catalan language was restricted and any public activities associated with Catalan nationalism were banned. Many Catalans, however, argue that they’re still experiencing the dictatorship today — under the cloak of democracy. Spain’s ruling conservative party, the Partido Popular, was founded by Manuel Fraga , minister of information and tourism during the Francoist dictatorship. 2. The independence movement has gained traction in recent years. Separatist sentiment has always existed in Catalonia, but",Why does Catalonia want independence from Spain?
https://www.teenvogue.com/story/catalonia-demands-independence-from-spain,https://www.teenvogue.com/story/catalonia-demands-independence-from-spain_chunk1,2017-10-05 04:11:00,"party, the Partido Popular, was founded by Manuel Fraga , minister of information and tourism during the Francoist dictatorship. 2. The independence movement has gained traction in recent years. Separatist sentiment has always existed in Catalonia, but the independence movement began to gain traction after an economic crisis in 2008 , when the unemployment rate rose sharply. In 2010, the movement got even stronger after the Spanish courts struck down a statute of autonomy that would have granted Catalonia more control over the collection of its taxes . Catalonia is one of the richest regions in Spain, and Catalan people feel they contribute more to the central Spanish government in taxes than they receive back in public funds. In a nonbinding poll held in 2014, 80% of Catalan voters opted for independence, though less than half of the region’s 5.5 million eligible voters took part . A poll from the regional government's Center for Opinion Studies, however, showed that about 41% Catalonia’s voters support independence . 3. Catalonia moves forward with independence vote. After much controversy and anticipation, the Catalan government declared this summer that it would hold another independence referendum, on October 1— this time, however, it would be legally binding . Spain immediately vowed to take any necessary measures to stop it from taking place, claiming that the vote goes against the 1978 Constitution, which states the country is indivisible . But after many raids and arrests, the Catalan people voted. More than 2 million people showed up, or around 42.3% of eligible voters — and the vote for independence won with 90% . That night, Spain’s prime minister, Mariano Rajoy, said in a televised address that “there was no independence referendum in Catalonia today."" And he responded to police injuring citizens during Sunday’s vote by saying, “We","Catalonia independence vote: reasons, turnout, and Spain's reaction"
https://www.teenvogue.com/story/catalonia-demands-independence-from-spain,https://www.teenvogue.com/story/catalonia-demands-independence-from-spain_chunk2,2017-10-05 04:11:00,"with 90% . That night, Spain’s prime minister, Mariano Rajoy, said in a televised address that “there was no independence referendum in Catalonia today."" And he responded to police injuring citizens during Sunday’s vote by saying, “We have done what we had to do,” according to a translation by France 24. Catalonia’s president, Carles Puigdemont, responded in a statement in both Catalan and Spanish, saying that the Catalan people had won the right to independence and the region would declare independence in the coming days . 4. But the future is still unclear. The Catalan government will make an announcement on Monday, October 9, and is likely to declare independence . But it’s still unclear what the implications could be, since such a move is unprecedented in Spain. On Thursday, the Spanish government ordered a temporary suspension of the meeting, but Catalans have not canceled the special session. One of the possible results, however, could be a suspension of Catalonia’s current autonomy by the Spanish central government , which means the Catalan people would have no political control over their region. Spain's Rajoy also faces an uncertain future: He was criticized by people on both sides of the issue following the use of police force on Catalan citizens. After Sunday’s violence, Human Rights Watch issued a statement saying the “state has a right to peaceful assembly and free expression.” And Barcelona’s mayor, Ada Colau, has called for Rajoy’s resignation .",Reactions to Spanish prime minister's Catalonia referendum comments
